               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071864,            0.028976,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043443,                   0,            0.070448,           0.0032836,           0.0032836
                   1,            0.050293,            0.020627,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019783,                   0,            0.040229,           0.0063986,           0.0063986
                   2,             0.04797,             0.01569,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020291,                   0,            0.009791,           0.0092935,           0.0092935
                   3,            0.041621,             0.01223,                   0,                   0,                   0,                   0,                   0,                   0,           0.0032079,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.035731,            0.009386,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045547,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.030768,           0.0081822,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039928,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.029143,           0.0073348,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051167,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.026884,           0.0068122,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048363,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.024447,           0.0066053,                   0,                   0,                   0,                   0,                   0,                   0,            0.004693,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.023215,           0.0060667,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052693,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.021718,           0.0058485,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059042,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.020617,           0.0056821,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054749,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.019888,            0.005196,                   0,                   0,                   0,                   0,                   0,                   0,           0.0057485,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.019192,           0.0052653,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060682,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.018232,           0.0051362,                   0,                   0,                   0,                   0,                   0,                   0,           0.0060387,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.017726,            0.005075,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059798,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.016716,           0.0047213,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064802,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.016282,           0.0046628,                   0,                   0,                   0,                   0,                   0,                   0,           0.0064747,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.015494,            0.004728,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070786,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.014644,           0.0043797,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071135,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.014177,           0.0044479,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075474,                   0,             0.00373,             0.00373,             0.00373
                  21,              0.0135,           0.0043388,                   0,                   0,                   0,                   0,                   0,                   0,           0.0073338,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.012672,           0.0041085,                   0,                   0,                   0,                   0,                   0,                   0,           0.0074086,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.012213,           0.0040328,                   0,                   0,                   0,                   0,                   0,                   0,           0.0083098,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.011513,           0.0038766,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088396,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.011329,           0.0038712,                   0,                   0,                   0,                   0,                   0,                   0,           0.0088117,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.010531,           0.0037287,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091779,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.010441,           0.0037886,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091436,                   0,             0.00142,             0.00142,             0.00142
                  28,           0.0099674,           0.0037413,                   0,                   0,                   0,                   0,                   0,                   0,           0.0093782,                   0,             0.00109,             0.00109,             0.00109
                  29,           0.0099294,           0.0034598,                   0,                   0,                   0,                   0,                   0,                   0,            0.009402,                   0,             0.00076,             0.00076,             0.00076
