               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090082,            0.026548,                   0,             0.27799,             0.63909,             0.26465,            0.099027,             0.05406,            0.017286,                   0,             0.07075,             0.00325,             0.00325
                   1,            0.057071,            0.020608,                   0,             0.73639,             0.70003,             0.76928,             0.36278,            0.050102,            0.014013,                   0,            0.040489,           0.0063226,           0.0063226
                   2,            0.050741,            0.017324,                   0,             0.67363,             0.79736,             0.73142,             0.15414,            0.060597,            0.011142,                   0,           0.0099646,           0.0091313,           0.0091313
                   3,             0.04396,            0.014547,                   0,             0.83269,             0.98466,             0.90877,             0.47868,            0.033772,            0.009304,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.037165,            0.011612,                   0,              0.7918,             0.92446,              0.9224,             0.49419,            0.029322,           0.0081266,                   0,            0.008812,            0.008812,            0.008812
                   5,            0.033352,             0.01006,                   0,             0.87558,             0.97882,             0.95948,             0.46981,            0.029933,           0.0068907,                   0,            0.008416,            0.008416,            0.008416
                   6,            0.030524,           0.0086038,                   0,             0.94094,             0.98801,             0.98744,              0.5567,            0.027757,           0.0057192,                   0,             0.00802,             0.00802,             0.00802
                   7,            0.028511,           0.0079889,                   0,             0.95147,             0.98725,             0.99284,             0.62983,            0.026536,           0.0054924,                   0,            0.007624,            0.007624,            0.007624
                   8,            0.026465,           0.0076385,                   0,             0.95448,             0.98681,              0.9932,             0.71038,            0.020131,           0.0050938,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.024459,           0.0068176,                   0,             0.97361,             0.99041,             0.99426,             0.76187,            0.020017,            0.004723,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.022894,           0.0066043,                   0,             0.97974,             0.98557,             0.99462,             0.73477,            0.019753,           0.0044266,                   0,            0.006436,            0.006436,            0.006436
                  11,            0.022562,            0.006488,                   0,             0.97679,             0.98801,             0.99435,               0.792,            0.018977,           0.0044979,                   0,             0.00604,             0.00604,             0.00604
                  12,             0.02084,            0.005858,                   0,             0.97516,             0.98921,             0.99437,             0.80712,            0.015855,           0.0041681,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.020207,           0.0060863,                   0,             0.98092,             0.98921,             0.99462,             0.85154,            0.013849,           0.0041764,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.019462,           0.0058347,                   0,             0.98964,             0.98561,             0.99485,             0.84874,            0.013315,           0.0040976,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.017857,           0.0056601,                   0,             0.99906,             0.98681,             0.99492,             0.85698,            0.013157,           0.0040057,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.017015,            0.005446,                   0,             0.99635,             0.98681,             0.99495,             0.86921,            0.013136,           0.0038657,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.016466,           0.0054174,                   0,             0.99437,             0.98921,             0.99476,             0.86379,             0.01207,           0.0036525,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.015616,           0.0053424,                   0,             0.99385,             0.98921,              0.9949,             0.87365,            0.011791,           0.0035582,                   0,            0.003268,            0.003268,            0.003268
                  19,            0.014901,           0.0048296,                   0,              0.9899,              0.9964,             0.99494,              0.8701,            0.011306,           0.0034764,                   0,            0.002872,            0.002872,            0.002872
                  20,            0.014072,           0.0050497,                   0,              0.9985,             0.98921,             0.99488,             0.88148,            0.011131,             0.00342,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.013829,           0.0049585,                   0,             0.99451,              0.9988,             0.99499,             0.89054,            0.010629,           0.0033193,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.013042,           0.0046742,                   0,              0.9988,             0.99749,               0.995,             0.89643,            0.010369,           0.0032611,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.012209,           0.0046915,                   0,              0.9983,               0.994,               0.995,              0.8971,            0.010111,              0.0032,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.011752,           0.0044735,                   0,             0.99836,              0.9988,               0.995,             0.90013,           0.0099479,           0.0031585,                   0,            0.000892,            0.000892,            0.000892
